ax,ay,az,gx,gy,gz
0.153931,-0.268677,0.985474,-2.01416,-2.01416,-2.01416
0.180054,-0.279297,0.984253,3.173828,3.173828,3.173828
0.170532,-0.285889,0.911133,12.756348,12.756348,12.756348
0.178223,-0.251099,1.092163,17.333984,17.333984,17.333984
0.171875,-0.22168,1.095215,16.906738,16.906738,16.906738
0.140137,-0.245483,0.703979,12.634277,12.634277,12.634277
0.140625,-0.182373,0.734497,-0.12207,-0.12207,-0.12207
0.151367,-0.406494,0.711548,-6.835938,-6.835938,-6.835938
0.145874,-0.491333,0.922607,-0.183105,-0.183105,-0.183105
0.139282,-0.182129,1.026611,15.075684,15.075684,15.075684
0.12854,0.106201,1.110718,3.78418,3.78418,3.78418
0.123657,0.033936,1.213745,11.535645,11.535645,11.535645
0.12854,0.018066,1.131592,41.07666,41.07666,41.07666
0.142578,-0.031738,1.060425,11.535645,11.535645,11.535645
0.151367,-0.081177,0.973267,6.286621,6.286621,6.286621
0.1427,-0.169434,1.00708,5.554199,5.554199,5.554199
0.340454,-0.108154,0.822266,-14.648438,-14.648438,-14.648438
0.294312,-0.104492,0.695312,-14.892578,-14.892578,-14.892578
0.3125,-0.171143,0.641235,-14.831543,-14.831543,-14.831543
0.25061,-0.22998,0.580811,-24.353027,-24.353027,-24.353027
0.216797,-0.106201,0.665894,-24.719238,-24.719238,-24.719238
0.173462,0.088501,0.758423,-22.338867,-22.338867,-22.338867
0.129883,0.301514,1.028931,-9.94873,-9.94873,-9.94873
0.12793,0.375244,1.185303,9.460449,9.460449,9.460449
0.135376,0.367798,1.086182,26.855469,26.855469,26.855469
0.174927,0.338257,1.173462,19.348145,19.348145,19.348145
0.226807,0.304932,0.948608,13.122559,13.122559,13.122559
0.357422,0.217896,0.840576,0.732422,0.732422,0.732422
0.420166,0.090698,0.63208,-6.164551,-6.164551,-6.164551
0.475342,-0.013672,0.272339,-5.187988,-5.187988,-5.187988
0.49939,-0.073853,0.30957,-12.878418,-12.878418,-12.878418
0.44873,-0.055786,0.513916,-9.338379,-9.338379,-9.338379
0.436768,0.070679,0.75647,-2.929688,-2.929688,-2.929688
0.339355,0.232422,0.812622,-7.751465,-7.751465,-7.751465
0.313599,0.47168,0.786743,13.305664,13.305664,13.305664
0.282959,0.530518,0.803955,39.794922,39.794922,39.794922
0.257935,0.563354,0.881836,18.371582,18.371582,18.371582
0.380615,0.524902,1.10144,7.385254,7.385254,7.385254
0.441162,0.32019,0.772095,11.230469,11.230469,11.230469
0.530762,0.340088,0.691406,-8.056641,-8.056641,-8.056641
0.683594,0.06189,0.463257,-24.719238,-24.719238,-24.719238
0.667114,-0.209595,0.061523,-12.451172,-12.451172,-12.451172
0.688354,-0.206177,0.248535,-10.803223,-10.803223,-10.803223
0.656982,-0.110962,0.845825,0.854492,0.854492,0.854492
0.596924,0.133179,0.913086,7.202148,7.202148,7.202148
0.558105,0.359985,1.001831,26.794434,26.794434,26.794434
0.547119,0.40332,0.869995,84.472656,84.472656,84.472656
0.515747,0.585571,0.673828,51.208496,51.208496,51.208496
0.545654,0.383911,0.552979,13.183594,13.183594,13.183594
0.609619,0.16748,0.259155,13.916016,13.916016,13.916016
0.599976,0.081543,0.062866,-57.434082,-57.434082,-57.434082
0.789917,-0.076294,0.267944,-29.968262,-29.968262,-29.968262
0.768433,-0.059937,0.358887,-24.108887,-24.108887,-24.108887
0.654663,0.028564,0.480225,-5.432129,-5.432129,-5.432129
0.625122,0.235596,0.55957,17.51709,17.51709,17.51709
0.643311,0.561768,0.714355,31.677246,31.677246,31.677246
0.580688,0.43335,0.685669,34.851074,34.851074,34.851074
0.637573,0.438599,0.464233,41.687012,41.687012,41.687012
0.708618,0.324829,0.400024,3.540039,3.540039,3.540039
0.759766,0.01416,0.389526,-2.075195,-2.075195,-2.075195
0.8573,-0.257935,0.491821,-39.855957,-39.855957,-39.855957
0.861816,-0.011963,0.623657,-41.992188,-41.992188,-41.992188
0.799316,0.408203,1.078369,-6.958008,-6.958008,-6.958008
0.900757,0.595581,1.039062,10.131836,10.131836,10.131836
0.821411,0.497681,1.165283,33.569336,33.569336,33.569336
0.780029,0.441528,0.883179,39.733887,39.733887,39.733887
0.753052,0.261597,0.677856,16.540527,16.540527,16.540527
