ax,ay,az,gx,gy,gz
0.266095,0.192545,0.919526,8.864498,8.864498,8.864498
0.265425,0.193576,0.919363,8.47205,8.47205,8.47205
0.264758,0.194587,0.91922,8.781886,8.781886,8.781886
0.264105,0.195567,0.919212,9.031996,9.031996,9.031996
0.263505,0.196569,0.919252,9.183255,9.183255,9.183255
0.262974,0.196832,0.919438,9.218604,9.218604,9.218604
0.262469,0.196375,0.919971,8.560131,8.560131,8.560131
0.261997,0.196066,0.920464,11.187886,11.187886,11.187886
0.261545,0.195823,0.921561,15.617669,15.617669,15.617669
0.261099,0.195942,0.922536,12.816626,12.816626,12.816626
0.260659,0.196365,0.923089,9.725612,9.725612,9.725612
0.260204,0.196176,0.923636,3.058109,3.058109,3.058109
0.259798,0.193966,0.923699,2.313218,2.313218,2.313218
0.259601,0.192318,0.922689,8.352816,8.352816,8.352816
0.259467,0.19094,0.922935,10.940771,10.940771,10.940771
0.259368,0.191175,0.923364,15.331567,15.331567,15.331567
0.259246,0.1894,0.923887,9.002047,9.002047,9.002047
0.26048,0.186909,0.924974,4.67309,4.67309,4.67309
0.260049,0.184797,0.926205,15.951491,15.951491,15.951491
0.25962,0.183164,0.927166,3.896786,3.896786,3.896786
0.260624,0.181977,0.927967,0.696838,0.696838,0.696838
0.260367,0.181236,0.927357,-0.373243,-0.373243,-0.373243
0.260826,0.181109,0.925957,-2.388671,-2.388671,-2.388671
0.262105,0.180773,0.925339,-8.58122,-8.58122,-8.58122
0.261659,0.179629,0.925255,-12.977365,-12.977365,-12.977365
0.261693,0.178018,0.925431,-13.570908,-13.570908,-13.570908
0.261842,0.174069,0.924611,-8.058321,-8.058321,-8.058321
0.261644,0.17104,0.923695,-15.427222,-15.427222,-15.427222
0.261224,0.16807,0.923711,-5.349381,-5.349381,-5.349381
0.260968,0.165759,0.926204,-9.160793,-9.160793,-9.160793
0.260458,0.165948,0.927405,-2.342029,-2.342029,-2.342029
0.259386,0.166275,0.928522,-3.26955,-3.26955,-3.26955
0.257782,0.166326,0.930461,-12.083829,-12.083829,-12.083829
0.256688,0.167369,0.930714,-0.374772,-0.374772,-0.374772
0.257405,0.166157,0.930742,31.454565,31.454565,31.454565
0.258418,0.166946,0.930549,65.310661,65.310661,65.310661
0.258991,0.165383,0.93138,34.488285,34.488285,34.488285
0.257651,0.16399,0.931763,11.114986,11.114986,11.114986
0.255082,0.160498,0.931728,-34.020683,-34.020683,-34.020683
0.250589,0.155856,0.931794,-48.842365,-48.842365,-48.842365
0.246631,0.153861,0.931942,-54.857101,-54.857101,-54.857101
0.243536,0.151155,0.932729,-42.331383,-42.331383,-42.331383
0.241495,0.149103,0.933652,-33.315586,-33.315586,-33.315586
0.237077,0.148617,0.932995,-28.506113,-28.506113,-28.506113
0.233793,0.149884,0.932688,-24.02129,-24.02129,-24.02129
0.231244,0.1519,0.934829,-21.552927,-21.552927,-21.552927
0.228437,0.148138,0.935075,3.746204,3.746204,3.746204
0.228782,0.143983,0.93284,43.309162,43.309162,43.309162
0.228624,0.146972,0.932306,3.652554,3.652554,3.652554
0.227717,0.14439,0.934109,-7.926931,-7.926931,-7.926931
0.225204,0.139693,0.935918,13.214101,13.214101,13.214101
0.221255,0.137307,0.935343,9.68586,9.68586,9.68586
0.215879,0.138724,0.932707,6.211316,6.211316,6.211316
0.211928,0.139657,0.934483,-5.627326,-5.627326,-5.627326
0.211273,0.136432,0.937335,3.616961,3.616961,3.616961
0.210722,0.13254,0.937003,-5.686324,-5.686324,-5.686324
0.207528,0.13356,0.932453,-34.483475,-34.483475,-34.483475
0.206192,0.135794,0.93033,0.358318,0.358318,0.358318
0.205839,0.137454,0.929034,0.610821,0.610821,0.610821
0.204565,0.134711,0.925886,2.905601,2.905601,2.905601
0.201207,0.136951,0.921887,-34.669258,-34.669258,-34.669258
0.198023,0.143482,0.920472,-32.360844,-32.360844,-32.360844
0.197064,0.142911,0.917879,-17.245882,-17.245882,-17.245882
0.197089,0.137255,0.913547,12.787311,12.787311,12.787311
0.195965,0.145362,0.911378,-4.230344,-4.230344,-4.230344
0.19398,0.1454,0.912699,9.047009,9.047009,9.047009
0.192941,0.141035,0.913692,-3.952981,-3.952981,-3.952981
0.194132,0.147223,0.913725,-3.353905,-3.353905,-3.353905
0.195117,0.144588,0.914376,-2.628788,-2.628788,-2.628788
0.193864,0.142259,0.914943,-0.437368,-0.437368,-0.437368
0.195791,0.140731,0.914985,37.059593,37.059593,37.059593
0.1987,0.139765,0.915278,52.264099,52.264099,52.264099
0.196879,0.138782,0.915611,24.976002,24.976002,24.976002
0.198612,0.137917,0.915899,-2.050177,-2.050177,-2.050177
0.200955,0.136894,0.916179,-5.942657,-5.942657,-5.942657
0.198826,0.136102,0.916387,-5.184965,-5.184965,-5.184965
0.198273,0.135215,0.916682,-2.867851,-2.867851,-2.867851
0.197831,0.134348,0.916979,-0.965138,-0.965138,-0.965138
0.197349,0.133456,0.917224,0.042844,0.042844,0.042844
0.196969,0.132601,0.917456,0.150777,0.150777,0.150777
0.196538,0.131708,0.91773,0.533748,0.533748,0.533748
0.196091,0.130755,0.91811,0.874664,0.874664,0.874664
0.195753,0.12983,0.91837,1.223997,1.223997,1.223997
0.19531,0.129003,0.918868,1.068284,1.068284,1.068284
0.194901,0.128026,0.919199,0.886032,0.886032,0.886032
0.194488,0.127091,0.919196,0.883074,0.883074,0.883074
0.194021,0.126502,0.919388,0.938209,0.938209,0.938209
0.19354,0.125568,0.91925,1.21327,1.21327,1.21327
0.192984,0.124523,0.919275,1.199804,1.199804,1.199804
0.192374,0.123583,0.919384,0.9139,0.9139,0.9139
0.191735,0.122484,0.919477,0.331229,0.331229,0.331229
0.191086,0.121384,0.919545,0.678376,0.678376,0.678376
0.190603,0.120287,0.919516,0.523035,0.523035,0.523035
0.190226,0.119187,0.919789,1.542799,1.542799,1.542799
0.189927,0.118001,0.920024,1.360127,1.360127,1.360127
0.189727,0.116689,0.920114,1.51521,1.51521,1.51521
0.189748,0.115306,0.920243,2.351435,2.351435,2.351435
0.189868,0.11391,0.920315,2.664726,2.664726,2.664726
0.190289,0.112582,0.920241,4.375992,4.375992,4.375992
0.19075,0.111392,0.919979,3.042035,3.042035,3.042035
0.191183,0.110407,0.918962,2.716768,2.716768,2.716768
